run_id,status,seed,depth,width,num_tasks,epochs_per_task,batch_size,n_train,n_test,noise,lr,wd,activation,device,out_dir,save_every,print_every,residual,norm,details,return_pre_act,return_layer_out,dropout,opt_name,momentum
20260614_140314_0ee6e353,,20,12,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,5,5,False,none,,,,,,
20260614_140908_7367d23b,,20,20,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,5,5,True,none,,,,,,
20260614_142106_99b49e56,,20,4,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,2,2,False,none,,,,,,
20260614_143340_498109c7,,20,4,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,,,,,,
20260614_143629_ba6869c6,,20,4,10,500,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,True,none,,,,,,
20260614_171520_1b4d6027,,20,4,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_174001_d57a8ad7,,20,20,10,50,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_180653_9a6626f5,,20,20,10,100,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,True,none,we measure hessian both before start of task and after end of task,,,,,
20260614_183326_a42975ab,,20,20,10,100,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_185251_826356d1,,20,20,10,100,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_185310_b3855da7,,20,20,10,100,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_185630_09ce1511,,20,20,10,100,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_190303_2aad1a48,,20,20,10,100,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_191321_7b1e3658,,20,20,10,100,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_191613_e0961af7,,20,20,10,100,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_191845_761bfc1d,,20,20,10,200,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_200135_2796efa1,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260614_232931_58c69890,,20,20,10,200,20,64,512,2048,0.02,0.01,0.0,leaky_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260615_010406_970c8203,,20,4,10,200,20,64,512,2048,0.02,0.01,0.0,leaky_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260622_140621_31bd8744,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_193856_8c71ea51,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_194212_d0d3812a,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_195305_0ea69376,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_200244_6b1731a3,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_200258_a25c3344,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_200932_3eeac5f9,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_201145_774f314a,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_201502_2c93d98a,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_221616_c63b80ea,,20,20,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260623_222840_035834f1,,20,8,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260623_230359_7b751339,,20,4,10,200,20,64,512,2048,0.02,0.01,0.0,leaky_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260623_232525_683d93e3,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,leaky_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_000257_07d8e2b8,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,concat_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_003416_fe4b0962,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,leaky_relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_013449_7e198006,,20,4,10,20000,20,64,512,2048,0.02,0.01,0.0,leaky_relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_100810_0363d093,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_103332_2dde1c4a,,20,3,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_123048_97534d02,,20,3,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_124951_9f18e988,,20,3,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_125039_82e84762,,20,3,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_125155_7befe922,,20,3,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_125412_f60d12d3,,20,3,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_132149_4000b2cd,,20,4,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260624_134307_2aba9035,,20,20,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260624_140658_2d589d01,,20,3,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260624_140951_70262ae6,,20,8,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,we measure hessian both before start of task and after end of task,,,,,
20260625_084930_2dc40440,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,batchnorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260625_095555_9af41b3d,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,batchnorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260625_095623_5ec0601f,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,layernorm,We measure hessian both before start of task and after end of task. We also measure amount of negetive weight configuration.,,,,,
20260625_122742_f9b1fdc8,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_122854_d4bf244c,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_123041_9b343b53,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_123051_b3f5cbd2,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_123611_6d24779e,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_123753_79619fa9,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_124039_cc3e2551,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_124844_52f19d46,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_125829_cd581b89,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_152415_61509e83,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_160657_98e53dca,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_161606_69305302,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",,,,,
20260625_165356_6c0ab670,,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",False,True,,,
20260625_165641_b6990898,not completed,20,4,10,1000,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",False,True,,,
20260625_165737_30bed7be,not completed,20,4,10,5,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",False,True,,,
20260625_170057_771ad68d,not completed,20,4,10,5,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",False,True,,,
20260625_170354_050fcd12,completed,20,4,10,5,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure hidden_output",False,True,,,
20260625_170606_c5174572,completed,20,4,10,200,20,64,512,2048,0.02,0.01,0.0,relu,cpu,results/synthetic_non_linear_task/,1,1,False,none,"We measure 1. hessian at start and end of task, 2. We measure negetive weight configuration, 3. We measure output from hidden layers",False,True,,,
